Year;Month;Day;Hour;Minute;Wind Speed daily mean;Wind Direction daily mean;Wind Speed daily max;Wind Speed daily min
2001;01;01;00;00;7.96;140.21;9.80;5.71
2001;01;02;00;00;9.29;144.55;20.59;5.18
2001;01;03;00;00;20.63;209.30;32.88;7.23
2001;01;04;00;00;15.79;190.95;27.13;7.27
2001;01;05;00;00;10.03;166.59;14.02;7.85
2001;01;06;00;00;9.30;230.02;15.67;2.01
2001;01;07;00;00;3.44;202.25;6.35;0.23
2001;01;08;00;00;4.29;238.09;8.51;0.35
2001;01;09;00;00;7.29;174.06;9.19;3.40
2001;01;10;00;00;7.81;155.13;11.11;5.11
2001;01;11;00;00;5.90;106.88;7.35;4.79
2001;01;12;00;00;10.71;61.08;14.55;6.11
2001;01;13;00;00;15.27;63.40;18.90;11.06
2001;01;14;00;00;13.64;67.92;19.17;5.69
2001;01;15;00;00;4.89;86.20;5.90;3.11
2001;01;16;00;00;2.30;138.35;3.37;0.84
2001;01;17;00;00;3.03;188.83;5.26;1.82
2001;01;18;00;00;3.91;138.96;5.67;1.81
2001;01;19;00;00;3.75;169.47;7.46;0.53
2001;01;20;00;00;9.40;259.20;19.31;2.66
2001;01;21;00;00;4.65;195.34;9.88;1.31
2001;01;22;00;00;6.60;141.60;7.77;4.61
2001;01;23;00;00;12.45;199.57;17.17;5.95
2001;01;24;00;00;8.78;177.42;12.05;4.78
2001;01;25;00;00;9.00;182.36;19.03;1.39
2001;01;26;00;00;10.41;198.69;18.15;4.63
2001;01;27;00;00;25.92;214.46;53.36;6.24
2001;01;28;00;00;7.42;92.39;10.53;4.24
2001;01;29;00;00;9.93;28.12;13.08;7.57
2001;01;30;00;00;7.74;136.20;9.51;5.99
2001;01;31;00;00;9.20;60.10;17.29;5.70
2001;02;01;00;00;7.07;90.80;9.12;4.36
2001;02;02;00;00;9.06;233.40;14.34;6.00
2001;02;03;00;00;21.60;238.37;34.24;15.33
2001;02;04;00;00;24.10;233.39;41.39;6.00
2001;02;05;00;00;26.80;236.31;34.98;16.77
2001;02;06;00;00;9.92;189.83;17.65;5.09
